report_id,evidence,recommendation
ak2016_secondary,"Issue #1: Ensure correct coding of AFCARS data element 59. Eighteen (18) cases were excluded from the original sample and replaced with cases from the oversample. An additional two (2) cases were excluded from the oversample. Cases are replaced with a case from the oversample when it is established that a case is coded with a “1” in data element #59, but has not had a maintenance payment for an activity that has taken place during the PUR. Discussions with state staff and an examination of case documentation confirmed elimination of these cases from the sample was necessary because a title IV-E maintenance payment was not made in the cases for activities during the PUR. The reasons cases were excluded included: title IV-E payments made during the PUR but only for services outside the PUR; no title IV-E payments during the PUR; no services in the PUR charged to title IV-E; and only administrative costs but no maintenance payments during the PUR. Title IV-E Requirement: The case sample and oversample drawn for review consist of cases of individual children with a “1” coded in AFCARS data element 59, """"Sources of Federal Financial Support/Assistance for Child”, for the six-month reporting period of the PUR. As provided for in Appendix A of 45 CFR §1355.40, AFCARS element 59 is coded as “1” to indicate title IV-E foster care when title IV-E foster care maintenance assistance is the applicable source of income for the child’s care at any time during the six-month AFCARS period for a child meeting all title IV-E eligibility criteria. Element 59 is coded as “0” when title IV-E foster care maintenance payments is not the applicable income source for the child’s care."" Title IV-E Requirement: The case sample and oversample drawn for review consist of cases of
individual children with a “1” coded in AFCARS data element 59, ""Sources of Federal Financial
Support/Assistance for Child”, for the six-month reporting period of the PUR. As provided for
in Appendix A of 45 CFR §1355.40, AFCARS element 59 is coded as “1” to indicate title IV-E
7
foster care when title IV-E foster care maintenance assistance is the applicable source of income
for the child’s care at any time during the six-month AFCARS period for a child meeting all title
IV-E eligibility criteria. Element 59 is coded as “0” when title IV-E foster care maintenance
payments is not the applicable income source for the child’s care.","Recommended Corrective Action: The validity of the sample and oversample is dependent on
the accuracy of the title IV-E agency’s reporting of AFCARS foster care data element 59
(FC59). The Children’s Bureau recommends the title IV-E agency ensure a child’s eligibility
status and a child’s living arrangements are entered into ORCA (Online Resource for the
Children of Alaska) in a timely manner. The agency’s information system must properly
identify changes in a child’s eligibility status, so any updates also must be completed
timely. Additionally, the agency must properly identify whether title IV-E funds were claimed
for activities during the reporting period. Without the correct information about the child’s
eligibility status, living arrangement, and payments for activities during the PUR, extraction code
cannot properly identify whether FC59 applied (code value 1) or did not apply (code value 0) at
any point in the report period being extracted. Staff training and data monitoring should be
conducted on an ongoing, regular basis to ensure the system accurately reflects the funding
source for the child."
ak2016_secondary,"Issue #2: Ensure Foster Care Providers are fully licensed. For 5 cases (error cases 32, 109, 120 and non-error cases 90 and OS-15), foster care maintenance payments were made for a child placed in a home that was not fully licensed. For cases 32, 109, and 120, the state claimed title IV-E maintenance funds for a period prior to the home becoming fully licensed as a foster family home. In error case 120, ineligible payments also were claimed for a period prior to the completion of safety checks. For cases 90 and OS-15, the state claimed title IV-E maintenance funds for a period of time when the home lost its status of being fully licensed. The state agency must clearly document that the child’s foster care placement is fully licensed or approved in order for the child to be eligible under title IV-E. Title IV-E Requirement: Federal provisions at §472(b) and (c) of the Act and 45 CFR §1355.20 permit FFP for the costs of foster care maintenance for otherwise eligible children placed in licensed or approved foster family homes or childcare institutions. These provisions require that the child’s foster care setting be fully licensed or approved in accordance with the state’s licensing standards where the foster family home is located. The state agency also must ensure and document that the foster care provider meets the established safety standards before a foster care provider is licensed and before title IV-E foster care maintenance payments are claimed on behalf of a child placed in the foster family home or childcare institution, as required in §471(a)(20)(A) of the Act and 45 CFR §1356.30. For the IV-E review, the state must provide sufficient information to support FFP for a child’s foster care placement during the PUR. Title IV-E Requirement: Federal provisions at §472(b) and (c) of the Act and 45 CFR §1355.20
permit FFP for the costs of foster care maintenance for otherwise eligible children placed in
licensed or approved foster family homes or childcare institutions. These provisions require that
the child’s foster care setting be fully licensed or approved in accordance with the state’s
licensing standards where the foster family home is located. The state agency also must ensure
and document that the foster care provider meets the established safety standards before a foster
care provider is licensed and before title IV-E foster care maintenance payments are claimed on
behalf of a child placed in the foster family home or childcare institution, as required in
§471(a)(20)(A) of the Act and 45 CFR §1356.30. For the IV-E review, the state must provide
sufficient information to support FFP for a child’s foster care placement during the PUR.","Recommended Corrective Action: Alaska should continue to ensure that staff is fully trained
and understands that all state licensing criteria must be met prior to claiming title IV-E
maintenance payments on behalf of a child placed in the foster care setting.
8
We recommend Alaska enhance its eligibility monitoring procedures to ensure that title IV-E
maintenance payments are not claimed for children placed with caregivers, including relatives,
until the caregivers have been fully licensed and criminal background checks have been
satisfactorily completed. We further recommend Alaska train eligibility specialists to respond to
ORCA notifications regarding foster home licensing status in a timely manner so as not to claim
title IV-E when a home becomes not fully licensed for any reason.
We recommend that the state Community Care Licensing office more accurately document when
a home is fully licensed or when licensing requirements are not met. While this information is
available in ORCA, reviewers noted the periods of licensure on the printed licenses in the files
did not always reflect the current status of the license in ORCA.
We suggest Alaska consider updating current naming conventions for its licenses to differentiate
between a home that is fully licensed and a home that is provisionally licensed but does not meet
all criteria for fully licensure. In Alaska, a home receives a “Provisional License” whether it is
fully licensed or conditions exist such that it is not fully licensed. Reviewers found this practice
both confusing and misleading. This may also be causing confusion for eligibility workers as
indicated by the number of error and non-error cases with licensing issues."
al2015_sub,"Underpayments: Three (3) non-error cases were identified to have periods of eligibility for which the state did not claim allowable title IV-E maintenance payments. Except for case #25, the state could not explain the reason these cases were not claimed for the entire period of eligibility. In sample cases #25 and # 61, the reasonable efforts to finalize the permanency plan was held timely; however, the state did not claim title IV-E funds for the eligible period of time. In sample #60, the permanency hearing was held a month late (January instead of December). The hearing was not timely, but the state did not claim title IV-E maintenance payments for the eligible period of time. ""Title IV-E Requirement: Federal regulations at 45 CFR 1356.60 provide that title IV-E foster care maintenance payments may be claimed for allowable costs that are covered by the federal definition of """"foster care maintenance"""" found at § 475(4) of the Act. Under § 472 of the Act and ACYF-CB-PIQ-91-05, title IV-E maintenance payments may be claimed from the first day of the foster care placement in the month in which all title IV-E eligibility criteria is met. The payment may be claimed for the entire month when an eligible child has resided in the foster care placement for the entire month. However, if the eligible child is placed on a date in the month other than the first of the month, title IV-E funds may be claimed for the period beginning with the actual date of foster care placement."" Title IV-E Requirement: Federal regulations at 45 CFR 1356.60 provide that title IV-E foster
care maintenance payments may be claimed for allowable costs that are covered by the federal
definition of ""foster care maintenance"" found at § 475(4) of the Act. Under § 472 of the Act and
ACYF-CB-PIQ-91-05, title IV-E maintenance payments may be claimed from the first day of the
foster care placement in the month in which all title IV-E eligibility criteria is met. The payment
may be claimed for the entire month when an eligible child has resided in the foster care
placement for the entire month. However, if the eligible child is placed on a date in the month
other than the first of the month, title IV-E funds may be claimed for the period beginning with
the actual date of foster care placement.","Recommended Corrective Action: The number of underpayments in the 2012 review was 38, and
although there has been some improvement, this is an area that warrants continued attention on
the states part. The state reported that since the turnaround time for determining a child's IV-E
eligibility has decreased to less than one week from the submission date of a referral from a
county office, the frequency of underpayments has diminished. There are also staff members
that now work to identify cases for retroactive claiming of federal payments.
The Children's Bureau recommends that Alabama continues to work to identify and address the
reason these issues are happening, and put processes in place to ensure that it is fully claiming its
share of title IV-E funds for these children. This process would help to reduce or eliminate
underpayments, thereby increasing the state's ability to maximize reimbursements for allowable
costs of care for eligible children through the use of title IV-E funding."
al2018_sub,"Issue #1: Placement in a licensed foster family home. One case was identified as in error because the child was placed in a foster family home that was not licensed or approved. The child had been placed out-of-state through the Interstate Compact on the Placement of Children (ICPC). Title IV-E Requirement: The title IV-E agency must document that the child’s foster care placement is fully licensed or approved for the child’s placement during the PUR, even when the placement is an out-of-state foster care setting. (See federal regulations at 45 CFR 1355.20, definition of: foster family home, and section 8.3A.8c of the Children’s Bureau policy manual). Title IV-E Requirement: The title IV-E agency must document that the child’s foster care
placement is fully licensed or approved for the child’s placement during the PUR, even when the
placement is an out-of-state foster care setting. (See federal regulations at 45 CFR 1355.20,
definition of: foster family home, and section 8.3A.8c of the Children’s Bureau policy manual).","Recommended Corrective Action: The Children’s Bureau recommends that Alabama
continue to actively monitor ICPC placements to ensure that ICPC requests are submitted
and completed timely and are within the standards and terms of the compact. In addition,
Alabama must ensure it receives explicit evidence (1) that the child’s foster care placement is
fully licensed or approved and (2) that all required safety checks are in place in accordance
with licensing standards where the foster care placement is located. (See the Title IV-E
Foster Care Eligibility Review Guide, Chapter 4, Inter-Jurisdictional Placements).
Furthermore, Alabama must ensure the child’s foster care placement meets the licensing and
safety requirements for the entire period title IV-E foster care maintenance payments are
made on behalf of an eligible child in Alabama’s legal custody, regardless of the jurisdiction
where the foster care placement is located."
al2018_sub,"Issue #2: Timeliness of Judicial Determinations Regarding Reasonable Efforts to Finalize a Permanency Plan. One non-error case has ineligible payments because the judicial requirement of “reasonable efforts to finalize a permanency plan” was not satisfactorily met for the specified period. Alabama, like most states, incorporated the federal requirement for a judicial determination of “reasonable efforts to finalize a permanency plan” into its court proceedings for the 12-month permanency hearing. However, if the permanency hearing is delayed, the delay results in the state obtaining a judicial determination beyond the 12 months required by federal regulation. Title IV-E Requirement: For a child who is judicially removed and remains in foster care for 12 months or more, federal provisions at §472(a)(2)(A) of the Act and 45 CFR §1356.21(b)(2) require the state to obtain a judicial determination of whether the state has made “reasonable efforts to finalize a permanency plan” for the child. The judicial finding must occur at regular 12-month intervals for the duration of the foster care episode and no later than 12 months from the month in which the prior determination is obtained. If the judicial determination of “reasonable efforts to finalize” is not made or is not timely, the child becomes ineligible from the beginning of the first month after it is due and remains ineligible until the month the judicial determination is made. Title IV-E Requirement: For a child who is judicially removed and remains in foster care for 12
months or more, federal provisions at §472(a)(2)(A) of the Act and 45 CFR §1356.21(b)(2)
require the state to obtain a judicial determination of whether the state has made “reasonable
efforts to finalize a permanency plan” for the child. The judicial finding must occur at regular
12-month intervals for the duration of the foster care episode and no later than 12 months from
the month in which the prior determination is obtained. If the judicial determination of
“reasonable efforts to finalize” is not made or is not timely, the child becomes ineligible from the
beginning of the first month after it is due and remains ineligible until the month the judicial
determination is made.","Recommended Corrective Action: The requisite judicial determination need not be tied to a
permanency or other court hearing. The judicial determination may be rendered by the court at
any point during the 12-month period. The state should continue to develop and implement
procedures to ensure timely judicial determinations of “reasonable efforts to finalize the
permanency plan” regardless of the timing of the permanency hearing. The Children’s Bureau
suggests the state put in place a quality assurance system to monitor accuracy of eligibility
determinations and claiming processes."
al2018_sub,"Issue #3: Correct coding of AFCARS data element 59. During this review, 17 cases were excluded from the original sample and replaced with cases from the oversample. In the previous 2015 primary review, 13 cases were dropped from the sample as a result of the same issue. Discussions with state staff and an examination of case documentation confirmed elimination of these cases from the sample was necessary because a title IV-E maintenance payment was not made in the cases for an activity that occurred during the PUR. State agency officials indicated the cases were incorrectly coded for title IV-E maintenance instead of the correct funding source. Title IV-E Requirement: The case sample and oversample drawn for the IV-E Review consist of cases of individual children with a “1, applies” coded in AFCARS data element 59, ""Sources of Federal Financial Support/Assistance for Child”, for the six-month reporting period of the PUR. Appendix A of 45 CFR §1355.40 provides that AFCARS element 59 is coded as “1, applies” to indicate title IV-E foster care when title IV-E foster care maintenance assistance is the applicable source of income for the child’s care at any time during the six-month AFCARS period for a child meeting all title IV-E eligibility criteria. Element 59 is coded as “0, does not apply” when title IV-E foster care maintenance payments is not the applicable income source for the child’s care. Title IV-E Requirement: The case sample and oversample drawn for the IV-E Review consist
of cases of individual children with a “1, applies” coded in AFCARS data element 59, ""Sources
of Federal Financial Support/Assistance for Child”, for the six-month reporting period of the
PUR. Appendix A of 45 CFR §1355.40 provides that AFCARS element 59 is coded as “1,
applies” to indicate title IV-E foster care when title IV-E foster care maintenance assistance is
the applicable source of income for the child’s care at any time during the six-month AFCARS
period for a child meeting all title IV-E eligibility criteria. Element 59 is coded as “0, does not
apply” when title IV-E foster care maintenance payments is not the applicable income source for
the child’s care.","Recommended Corrective Action: Validity of the sample and oversample is dependent on the
accuracy of the state title IV-E agency’s reporting of AFCARS foster care data element 59
(FC59). Staff training and data monitoring should be conducted on an ongoing, regular basis to
ensure the system accurately reflects the funding source for the child. For example, AFCARS
data element 62 is used to report child support, data element 63 for Supplemental Security
Income and data element 65 for other federal or non-federal funding sources."
al2018_sub,"Issue #4: Duplicate payments. During this review, it was determined that three non-error cases were found to have duplicate payments. The duplicate payments occurred when the state’s fiscal system permitted claiming of two title IV-E maintenance payments for the same child, dates and activities involving two different family foster homes. Each child was eligible under title IV-E for non-duplicative services. ""Title IV-E Requirement: Federal regulations at 45 CFR §1356.60(a)(1) & (2) permit federal matching funds for foster care maintenance costs when they are properly claimed for eligible children and their allowable costs. Foster care maintenance payments may not be claimed for the same activities of two providers for the same period behalf of a child. The state must document foster care maintenance payments claimed for title IV-E reimbursement are for allowable expenditures in accordance with 45 CFR 1356.60(a)(1)(i), are in amounts conforming to state established rates of payment for the type and level of care provided, and reflect non-duplicative amounts of the costs of daily maintenance."" Title IV-E Requirement: Federal regulations at 45 CFR §1356.60(a)(1) & (2) permit federal
matching funds for foster care maintenance costs when they are properly claimed for eligible
children and their allowable costs. Foster care maintenance payments may not be claimed for the
same activities of two providers for the same period behalf of a child. The state must document
foster care maintenance payments claimed for title IV-E reimbursement are for allowable
expenditures in accordance with 45 CFR 1356.60(a)(1)(i), are in amounts conforming to state
established rates of payment for the type and level of care provided, and reflect non-duplicative
amounts of the costs of daily maintenance.","Recommended Corrective Action: The state should explore the reason(s) for the duplicate
payments and develop an action plan to ensure that the improper payments do not occur. The
state should consider revising program to reject multiple payments for the same child, activity
and activity dates in multiple homes. The state should develop and use automated quality
assurance modules in their automated system to periodically review and track eligibility and
payments for accuracy and compliance with federal requirements. State standards should be
developed for this process."
az2016_sub,"Issue #1: Title IV-E payments may be claimed only on behalf of otherwise eligible children placed with fully-licensed providers. Two (2) cases are in error because the requirement to ensure that title IV-E foster care maintenance payments are made only on behalf of otherwise eligible children placed with fully-licensed providers was not met. For these two cases, title IV- E payments were claimed on behalf of children the agency placement records showed were placed with licensed providers but were actually living in different unlicensed homes. In Arizona, the statewide information system, CHILDS, is designed to capture the location and placement of every child in foster care. However, maintaining accurate data requires consistent caseworker compliance with timely and accurate data entry procedures. The placement history generated by CHILDS showed that the child in each error case was placed with a licensed, unrelated foster care provider when the case notes, court reports, and court orders clearly demonstrated that the child was physically placed with an unlicensed relative. Furthermore, the state made title IV-E maintenance payments to the licensed foster care provider for the time the child was in the unlicensed home. Title IV-E Requirement: Title IV-E foster care maintenance payments may only be made to the state on behalf of an otherwise eligible child for the period the child lives in the home of a fully-licensed caregiver. The title IV-E eligibility requirements pertaining to licensure are prescribed in §472(b) & (c) of the Act and federal regulations at 45 CFR §1356.20 and §1356.71(d)1(iv). Although not a title IV-E eligibility requirement, as a condition of its title IV-E plan, a title IV-E  agency is required to ensure that the information system accurately maintains statewide data from which it can, among other things, readily identify the location and placement of every child in foster care [§474 of the Act, 45 CFR 1355.53]. Ensuring data integrity supports accurate eligibility determinations and provider reimbursements as well as tracking of case planning and service delivery. Title IV-E Requirement: Title IV-E foster care maintenance payments may only be made to the
state on behalf of an otherwise eligible child for the period the child lives in the home of a fully-
licensed caregiver. The title IV-E eligibility requirements pertaining to licensure are prescribed
in §472(b) & (c) of the Act and federal regulations at 45 CFR §1356.20 and §1356.71(d)1(iv).
Although not a title IV-E eligibility requirement, as a condition of its title IV-E plan, a title IV-E 
agency is required to ensure that the information system accurately maintains statewide data
from which it can, among other things, readily identify the location and placement of every child in foster care [§474 of the Act, 45 CFR 1355.53]. Ensuring data integrity supports accurate
eligibility determinations and provider reimbursements as well as tracking of case planning and
service delivery.","Recommended Corrective Action: Accounting processes and procedures should ensure that title
IV-E foster care maintenance payments are tied to the placement of children on any given day
and are only made on behalf of otherwise eligible children in fully-licensed placements. The
Children’s Bureau recommends that the state revise the parameters of CHILDS to ensure
accurate location and placement for children in foster care. The Children’s Bureau further
recommends that the state assign eligibility parameters for title IV-E payments that are tied to
eligibility elements such as the location of the child in a fully-licensed placement. The Children’s
Bureau understands that a new statewide information system is in development at this time and
that specifications for the system will include such recommendations as are described here. In
the interim, we recommend that the state develop staff training to ensure that location and
placement of children is accurately reflected in CHILDS, and that the state claims of foster care
maintenance payments are made only for an allowable period and placement for an eligible
child."
az2016_sub,"Issue #2: Safety Considerations for Children Placed in Childcare Institutions. One case is in error and another case contains a non-error ineligible payment because the state agency did not comply with its policy to document the request for a Child Abuse and Neglect Central Registry clearance for employees working with children in group homes. The group homes in which the children were placed did not document that they had requested the requisite Child Abuse and Neglect Central Registry safety checks on all employees. Title IV-E Requirement: Title IV-E maintenance payments may only be made on behalf of otherwise eligible children placed in foster family homes or childcare institutions with valid licenses. As a condition of licensure, federal requirements at 45 CFR §1356.30(f) mandate the title IV-E agency to document that the background checks with respect to caregiver staff of the childcare institution are completed in accordance with the licensing agency’s requirements where the childcare institution is located (ACYF-CB-PI-10-02). Arizona Revised Statutes §8-804 requires ADCS to conduct central registry background checks to determine qualifications for childcare home certification for persons who are employed or who are applying for employment in positions that provide direct service to children. Arizona Administrative Code §R6-5-7413 requires the licensee (group home), within five work days of a paid staff member’s hiring or separation, to complete and send the licensing authority a “Request for Search of Central Registry for Background Check” form. The policy does not include a timeframe for when the licensing authority must complete the background check. Title IV-E Requirement: Title IV-E maintenance payments may only be made on behalf of
otherwise eligible children placed in foster family homes or childcare institutions with valid
licenses. As a condition of licensure, federal requirements at 45 CFR §1356.30(f) mandate the
title IV-E agency to document that the background checks with respect to caregiver staff of the
childcare institution are completed in accordance with the licensing agency’s requirements where
the childcare institution is located (ACYF-CB-PI-10-02). Arizona Revised Statutes §8-804
requires ADCS to conduct central registry background checks to determine qualifications for
childcare home certification for persons who are employed or who are applying for employment
in positions that provide direct service to children. Arizona Administrative Code §R6-5-7413
requires the licensee (group home), within five work days of a paid staff member’s hiring or
separation, to complete and send the licensing authority a “Request for Search of Central
Registry for Background Check” form. The policy does not include a timeframe for when the
licensing authority must complete the background check.","Recommended Corrective Action: To ensure safety for children in foster care, the Children’s
Bureau recommends that the state revise documentation policies and procedures for the state
licensing authority and contracted group homes to ensure that the licensing authority has a clear
time period in which to complete background checks with respect to caregiver staff; the licensing
authority documents that such checks are completed within the specified time period; and
clearances are documented by the licensing authority and the contracted group homes. Because
the current policy does not preclude unsupervised contact between employees and children
Arizona Title IV-E Eligibility Review Final Report Page 6
before background checks are completed, the Children’s Bureau recommends that the agency’s
policy be strengthened with regard to background checks for employees of group homes. For
example, it is recommended that the policy clearly indicate that employees of group homes may
not provide direct services to children until all relevant safety background clearances required by
the state, including fingerprints and Child Abuse and Neglect Central Registry checks, are
documented. The Children’s Bureau also recommends training for group home administrators in
appropriate record-keeping procedures and the importance of timely safety checks for
employees."
ca2015_sub,"Issue #1: Timeliness of Judicial Determinations Regarding Reasonable Efforts to Finalize a Permanency Plan. One (1) case was in error because the judicial requirement of “reasonable efforts to finalize a permanency plan” was not met timely. California like many states, incorporated the federal requirement for a judicial determination of “reasonable efforts to finalize a permanency plan” into its court proceeding for the 12-month permanency hearing. However, if the permanency hearing is delayed or continued, the delay results in the state obtaining a judicial determination beyond the 12 months required by federal regulation. Title IV-E Requirement: For a child who is judicially removed and remains in foster care for 12 months or more, federal provisions at §472(a)(2)(A) of the Act and 45 CFR §1356.21(b)(2) require the state to obtain a judicial determination of whether the state made “reasonable efforts to finalize a permanency plan” for the child. The judicial finding must occur at regular 12-month intervals for the duration of the foster care episode and no later than 12 months from the month in which the prior determination is obtained. If the judicial determination of “reasonable efforts to finalize” is not made or is not timely, the child becomes ineligible from the beginning of the first month after it is due and remains ineligible until the judicial determination is made. Title IV-E Requirement: For a child who is judicially removed and remains in foster care for 12
months or more, federal provisions at §472(a)(2)(A) of the Act and 45 CFR §1356.21(b)(2)
require the state to obtain a judicial determination of whether the state made “reasonable efforts
to finalize a permanency plan” for the child. The judicial finding must occur at regular 12-month
intervals for the duration of the foster care episode and no later than 12 months from the month
in which the prior determination is obtained. If the judicial determination of “reasonable efforts
to finalize” is not made or is not timely, the child becomes ineligible from the beginning of the
first month after it is due and remains ineligible until the judicial determination is made.","Recommended Corrective Action: The requisite judicial determination need not be tied to a
permanency or other court hearing. The judicial determination may be rendered by the court at
any point during the 12-month period. The state should continue to develop and implement
procedures to ensure timely judicial determinations of “reasonable efforts to finalize the
permanency plan” regardless of the timing of the permanency hearing. The accuracy and
reliability of eligibility determinations generally are increased through training of the judiciary
and other court officials to correct delays in judicial findings as well as to secure court orders
that reflect title IV-E criteria on legal authority, best interests and reasonable efforts. Staff
training will help to ensure workers make eligibility decisions based on the correct elements
needed for compliance and to eliminate the authorization of payments prior to establishing
compliance with requirements."
